,Lemma
0,μήποτε
1,ἐπί
2,μικρός
3,πρόφασις
4,φίλος
5,ἀνήρ
6,ἀπολέσσαι
7,πείθω
8,χαλεπός
9,Κύρνος
10,διαβολία
11,ὁ
12,ῥαδάμανθυς
13,οὐδέ
14,ἀπάτη
15,θυμός
16,τέρπω
17,ἔνδοθεν
18,οἷος
19,ψίθυρος
20,παλάμη
21,ἕπετ’
22,ἀεί
23,βρότος
24,ἄμαχος
25,κακός
26,ἀμφότερος
27,ὑποφῆτις
28,εἰμί
29,ὀργή
30,ἀτενὲς
31,ἀλωπέκειος
32,ἰκελόω
33,ἀδύνατος
34,δέ
35,ἔπος
36,ἐκβάλλω
37,κραταιὸν
38,ἐν
39,ἀγαθός
40,δόλιος
41,ἀστός
42,ὅμως
43,μὰν
44,σαίνω
45,πρός
46,πᾶς
47,ἄτη
48,πάγχυ
49,διαπλέκω
50,οὐ
51,οὗ
52,μετέχω
53,θράσος
54,φιλέω
55,διαβολή
56,γάρ
57,δεινός
58,δύο
59,μέν
60,ἀδικέω
61,εἷς
62,διαβάλλω
63,πάρειμι
64,κατηγορέω
65,ἀναπείθω
66,πρίν
67,ἤ
68,ἀτρεκέως
69,ἐκμανθάνω
70,δή
71,ἄπειμι
72,λόγος
73,ὅδε
74,αὐτός
75,τε
76,ὑπό
77,ἕτερος
78,καί
79,νομίζω
80,ἕνεκα
81,ὅσπερ
82,ἀδικώτατόν
83,ἄνθρωπος
84,ἀλλά
85,ἦ
86,τὶς
87,εἰς
88,σός
89,οὖς
90,ἐγώ
91,ἔχω
92,νοσέω
93,οὐδείς
94,αἴτιος
95,διαβολαὶ
96,ὅτι
97,τιμωρία
98,κατά
99,γράφω
100,νόμος
101,ὥσπερ
102,κλέπτης
103,καίτοι
104,κτῆμα
105,φίλιος
106,κλέπτω
107,ὥστε
108,ὕβρις
109,κακοῦργος
110,δίκαιος
111,εἰμί#1
112,διά
113,μή
114,ἀφανής
115,διαβολὰς
116,σώφρων
117,οὔτε
118,λέγω
119,ἀλλήλων
120,ἀκούω
121,ἀποδέχομαι
122,δέω
123,ὑμεῖς
124,ὦ
125,δικαστής
126,γνώμη
127,συκοφάντης
128,οὗτος
129,ἔργον
130,μηδείς
131,ἁμαρτάνω
132,αἰτία
133,καθίστημι
134,ἐκ
135,ἄν
136,μάλα
137,χρηματίζω
138,πολύς
139,οἴμη
140,οἶδα
141,δεινότατόν
142,κολάζω
143,ζημία
144,ψευδής
145,ὅς
146,ἐξαμαρτάνω
147,θαυμάζω
148,χρόνος
149,διατρίβω
150,ἐξαπατάω
151,κατηγορία
152,ὑπέρ
153,ἑαυτοῦ
154,ἀπολογία
155,ὡς
156,μέγας
157,τίς
158,γίγνομαι
159,ποιέω
160,ψεύδω
161,εὐδοκιμέω
162,δοκέω
163,δικάζω
164,ἐπιορκέω
165,ὅλως
166,ἀλήθεια
167,ἀφανίζω
168,δόξα
169,παρίστημι
170,τυγχάνω
171,πολίτης
172,ἀδίκως
173,ἀπόλλυμι
174,γε
175,πρόγονος
176,τέχνη
177,χραύω
178,ἅπας
179,ὑπερβάλλω
180,πονηρία
181,ἄλλος
182,οὖν
183,πειρᾶσθαί
184,λανθάνω
185,κακουργέω
186,ἐπιδείκνυμι
187,ὠμότης
188,μισανθρωπία
189,φιλαπεχθημοσύνη
190,χρή
191,κοινός
192,ἐπίπονος
193,κεῖμαι
194,ἁμαρτία
195,μέμψις
196,ἴδιος
197,ἐπανάγκης
198,λαμβάνω
199,πόλις
200,ὅλοξ
201,ψευδὴς
202,βίος
203,λυμαίνομαι
204,πῶ
205,λάθρῃ
206,ἀπατήσασα
207,μῖσος
208,ἀναπλάσσει
209,ἀδιάβολον
210,καλός
211,ἀπαράδεκτον
212,ὅθεν
213,καθά
214,τρόπος
215,διάστασις
216,φαίνω
217,περί
218,μόνος
219,φαῦλος
220,μήτε
221,χείρων
222,κηλεῖ
223,ἐκπλήσσω
224,διάνοια
225,ἀκροατής
226,ἐκθηριοῖ
227,θήραμα
228,ἐφεδρεύω
229,λογισμός
230,ἑρματισμένοι
231,ἀναχαιτιζόμενοι
232,ἀπεχθαίνω
233,ἐπιτιμάω
234,ἐπιστομίζω
235,ὁρμή
236,ἄχρι
237,ἐναργής
238,μαρτύριον
239,ἀπόδειξις
240,ἄρχω
241,ἀπό
242,ὠφελοῦντος
243,οἰκία
244,ἐπιτίμησις
245,ὀξύς
246,σφόδρα
247,τοίνυν
248,ἐρημία
249,μονομεροῦς
250,ἀναντίλεκτος
251,πιστεύω
252,ἀληθής
253,συνήθης
254,ἤδη
255,οἶκος
256,ἀνάστατος
257,ἄρδην
258,πατήρ
259,παῖς
260,ἐξεμάνησαν
261,φιλία
262,συγκόπτω
263,πιθανότης
264,ποιητὴν
265,ἄνθρωπός
266,γνώριμος
267,πλησίος
268,εὖ
269,αἰτιάομαι
270,μισέω
271,παρασκευάζω
272,εὔνοια
273,προσλαμβάνω
274,ἄδικος
275,τοιοῦτος
276,παράνομός
277,ἀσεβής
278,ἐπιζήμιος
279,ὁμολογέω
280,ἰσότης
281,δικαιοσύνη
282,ἄνισόν
283,πλεονεκτικὸν
284,ἀδικία
285,λάθρᾳ
286,χράω
287,πῶς
288,πλεονέκτης
289,ἐστὶν
290,ὅλος
291,ἀκροατὴν
292,σφετερίζω
293,προκαταλαμβάνω
294,ἀποφράσσων
295,δεύτερος
296,παντελής
297,ἄβατος
298,κατασκευάζω
299,προεμπεπλησμένα
300,ἔσχατος
301,ἀδίκημα
302,ἐάν
303,εὑρίσκω
304,ἄκριτος
305,ἄμοιρος
306,καταδικάζω
307,ἐπιχειρέω
308,ὑπάγω
309,λαθραίῳ
310,παραιρέω
311,ἀπαρρησίαστος
312,δειλὸς
313,τοὐμφανὲς
314,ἄγω
315,λοχάω
316,πόθεν
317,τοξεύω
318,μηδέ
319,ἀντιτάσσω
320,δυνατός
321,ἀνταγωνίσασθαι
322,ἀπορία
323,ἄγνοια
324,πόλεμος
325,διαφθείρω
326,μέγιστόν
327,σημεῖον
328,ὑγιής
329,ἐπεί
330,εἰ
331,συνεπίσταται
332,καὶεἰς
333,φανερός
334,ἐλέγχω
335,διευθύνω
336,ἀντεξετάζω
337,προφανής
338,νικάω
339,δύναμαι
340,ἐνέδρα
341,ποτε
342,πολέμιος
343,νόος
344,ἀρετή
345,ἀμφισβητέω
346,ἀποφράσσω
347,ἀνέδην
348,ἀναπεταννύω
349,πάθος
350,προειλημμένοις
351,ἐφίστημι
352,ἀκριβής
353,θυρωρὸν
354,ἄξιος
355,προσίημι
356,παραβάλλω
357,ἀποκλείω
358,ἀπωθέω
359,ἐπειδάν
360,πρόσειμι
361,πρᾶγμα
362,ἐξετάζω
363,δεῖ
364,ἀλλότριος
365,κρίσις
366,μᾶλλον
367,ἐξέτασις
368,φυλακτέος
369,ἀποδίδωμι
370,φθόνος
371,ἔλεγχος
372,ἑκάτερος
373,οὕτω(ς)
374,ἀγαπάω
375,δοκιμάζω
